,name,ra,dec
0,UGC00029       ,1.1406037,28.3017235
1,NGC0499        ,20.7979012,33.4601898
2,NGC0932        ,36.9779053,20.3324947
3,NGC0962        ,38.1659393,28.0700092
4,UGC02099       ,39.3041077,21.567585
5,NGC1060        ,40.8127937,32.4249153
6,NGC1132        ,43.2159882,-1.2747622
7,NGC1167        ,45.426403,35.205616
8,NGC2513        ,120.6027985,9.4135532
9,NGC3615        ,169.5277252,23.3973217
10,NGC4816        ,194.0506134,27.7454758
11,NGC5423        ,210.7025909,9.3413763
12,NGC5580        ,215.4100342,35.2048645
13,NGC5687        ,218.718338,54.475853
14,NGC6021        ,239.3778534,15.9560461
15,NGC6173        ,247.4369812,40.811657
16,UGC10693       ,256.2209167,41.86549
17,UGC10905       ,263.526825,25.3439693
18,NGC7194        ,330.8789062,12.6367817
19,UGC12127       ,339.6225891,35.3296928
20,NGC7562        ,348.989563,6.687542
21,NGC7683        ,352.2659302,11.4451685
22,IC3065         ,183.8023376,14.4329004
23,IC3652         ,190.2439728,11.1845198
24,NGC6023        ,239.456665,16.3101692
25,IC1602         ,13.9661903,-9.98563
26,UGC03960       ,115.0947418,23.27495
27,MCG+07-17-002  ,118.9348831,41.2039185
28,NGC2484        ,119.6170883,37.7866592
29,IC2378         ,127.131897,30.4313507
30,UGC04458       ,128.0471191,22.5605602
31,IC2402         ,131.9959869,31.7856102
32,2MASXJ09065870 ,136.7446136,20.7863598
33,CGCG429-012    ,339.2077026,14.3868799
34,NGC0426        ,18.2025299,-0.29019
35,NGC0472        ,20.1195393,32.7090302
