,name,ra,dec
0,NGC0155        ,8.6670008,-10.7665129
1,NGC0517        ,21.1825237,33.4295921
2,NGC0731        ,28.7342072,-9.0108128
3,NGC0774        ,29.8947029,14.0082045
4,NGC0938        ,37.1396599,20.2836971
5,NGC1026        ,39.8299751,6.5440435
6,UGC02229       ,41.3648643,0.9143492
7,NGC1361        ,53.573925,-6.2649965
8,NGC2918        ,143.9335022,31.7054653
9,NGC3182        ,154.8876343,58.2057304
10,UGC05771       ,159.3305817,43.5875893
11,NGC4956        ,196.2539368,35.1780319
12,UGC08234       ,197.1937714,62.2716942
13,NGC5029        ,198.1566315,47.0632782
14,NGC5198        ,202.5474396,46.670723
15,NGC5485        ,211.797287,55.0016479
16,NGC5546        ,214.5384521,7.5645456
17,NGC5557        ,214.6071777,36.4935646
18,NGC5598        ,215.6178284,40.3198166
19,NGC5631        ,216.6387177,56.5826149
20,NGC5623        ,216.7860718,33.2525253
21,NGC5684        ,218.9589844,36.543232
22,UGC09518       ,221.5906067,32.7802162
23,NGC5928        ,231.5119781,18.0736427
24,UGC10097       ,238.9302521,47.86726
25,NGC6020        ,239.283905,22.4045811
26,NGC6125        ,244.7980652,57.9841385
27,NGC6146        ,246.293045,40.892868
28,NGC6150        ,246.4581909,40.4887276
29,UGC10695       ,256.2732239,43.0431557
30,NGC6411        ,263.8868713,60.8134041
31,NGC6515        ,269.3549805,50.7281227
32,NGC7364        ,341.101532,-0.1620996
33,NGC7550        ,348.8169556,18.9614525
34,NGC7619        ,350.0604858,8.2062445
35,IC0225         ,36.6177902,1.1605901
36,MCG-01-33-007  ,191.9091644,-5.8672299
37,NGC7559B       ,348.9440308,13.2902403
38,NGC0548        ,21.5105209,-1.22557
39,NGC0647        ,24.9841499,-9.2424297
40,UGC04730       ,135.4934845,60.1517181
41,CGCG242-073    ,175.1973267,46.5405197
42,UGC09868       ,232.3109741,52.8638802
